state,year,type_code,type,gender,age_group,total
A & N Islands,2004,Causes,Other Prolonged Illness,Female,15-29,3
A & N Islands,2004,Causes,Failure in Examination,Female,15-29,2
A & N Islands,2004,Causes,Other Causes (Please Specity),Male,15-29,1
A & N Islands,2004,Causes,Unemployment,Male,15-29,5
A & N Islands,2004,Causes,Professional/Career Problem,Male,15-29,2
A & N Islands,2004,Causes,Insanity/Mental Illness,Male,15-29,6
A & N Islands,2004,Causes,Causes Not known,Male,15-29,5
A & N Islands,2004,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,1
A & N Islands,2004,Causes,Love Affairs,Male,15-29,4
A & N Islands,2004,Causes,Family Problems,Male,15-29,2
A & N Islands,2004,Causes,Suspected/Illicit Relation,Male,15-29,1
A & N Islands,2004,Causes,Poverty,Male,15-29,2
A & N Islands,2004,Causes,Failure in Examination,Male,15-29,3
A & N Islands,2004,Causes,Other Prolonged Illness,Male,15-29,2
A & N Islands,2004,Causes,Other Prolonged Illness,Female,30-44,6
A & N Islands,2004,Causes,Family Problems,Female,30-44,3
A & N Islands,2004,Causes,Other Causes (Please Specity),Female,30-44,2
A & N Islands,2004,Causes,Insanity/Mental Illness,Female,30-44,2
A & N Islands,2004,Causes,Other Prolonged Illness,Male,30-44,4
A & N Islands,2004,Causes,Other Causes (Please Specity),Male,30-44,4
A & N Islands,2004,Causes,Professional/Career Problem,Male,30-44,1
A & N Islands,2004,Causes,Death of Dear Person,Male,30-44,1
A & N Islands,2004,Causes,Divorce,Male,30-44,1
A & N Islands,2004,Causes,Love Affairs,Male,30-44,1
A & N Islands,2004,Causes,Family Problems,Male,30-44,3
A & N Islands,2004,Causes,Causes Not known,Male,30-44,4
A & N Islands,2004,Causes,Insanity/Mental Illness,Male,30-44,5
A & N Islands,2004,Causes,Other Prolonged Illness,Female,45-59,1
A & N Islands,2004,Causes,Cancer,Female,45-59,1
A & N Islands,2004,Causes,Family Problems,Female,45-59,1
A & N Islands,2004,Causes,Poverty,Male,45-59,2
A & N Islands,2004,Causes,Causes Not known,Male,45-59,2
A & N Islands,2004,Causes,Family Problems,Male,45-59,1
A & N Islands,2004,Causes,Other Prolonged Illness,Male,45-59,6
A & N Islands,2004,Causes,Insanity/Mental Illness,Male,45-59,3
A & N Islands,2004,Causes,Other Prolonged Illness,Female,60+,1
A & N Islands,2004,Causes,Causes Not known,Male,60+,1
A & N Islands,2004,Causes,Cancer,Male,60+,1
A & N Islands,2004,Causes,Other Prolonged Illness,Male,60+,4
A & N Islands,2004,Causes,Insanity/Mental Illness,Male,60+,1
A & N Islands,2004,Causes,Property Dispute,Male,60+,1
A & N Islands,2004,Causes,Other Causes (Please Specity),Male,60+,1
A & N Islands,2005,Causes,Causes Not known,Female,0-14,1
A & N Islands,2005,Causes,Other Causes (Please Specity),Female,0-14,2
A & N Islands,2005,Causes,Other Causes (Please Specity),Male,0-14,4
A & N Islands,2005,Causes,Love Affairs,Male,0-14,1
A & N Islands,2005,Causes,Other Prolonged Illness,Female,15-29,6
A & N Islands,2005,Causes,Failure in Examination,Female,15-29,3
A & N Islands,2005,Causes,Causes Not known,Female,15-29,3
A & N Islands,2005,Causes,Insanity/Mental Illness,Female,15-29,2
A & N Islands,2005,Causes,Other Causes (Please Specity),Female,15-29,13
A & N Islands,2005,Causes,Other Causes (Please Specity),Male,15-29,5
A & N Islands,2005,Causes,Causes Not known,Male,15-29,6
A & N Islands,2005,Causes,Other Prolonged Illness,Male,15-29,1
A & N Islands,2005,Causes,Insanity/Mental Illness,Male,15-29,2
A & N Islands,2005,Causes,Death of Dear Person,Male,15-29,1
A & N Islands,2005,Causes,Family Problems,Female,30-44,1
A & N Islands,2005,Causes,Other Causes (Please Specity),Female,30-44,2
A & N Islands,2005,Causes,Insanity/Mental Illness,Female,30-44,2
A & N Islands,2005,Causes,Other Prolonged Illness,Female,30-44,2
A & N Islands,2005,Causes,Causes Not known,Female,30-44,1
A & N Islands,2005,Causes,Love Affairs,Male,30-44,2
A & N Islands,2005,Causes,Poverty,Male,30-44,2
A & N Islands,2005,Causes,Family Problems,Male,30-44,1
A & N Islands,2005,Causes,Insanity/Mental Illness,Male,30-44,4
A & N Islands,2005,Causes,Other Prolonged Illness,Male,30-44,3
A & N Islands,2005,Causes,Other Causes (Please Specity),Male,30-44,10
A & N Islands,2005,Causes,Causes Not known,Male,30-44,2
A & N Islands,2005,Causes,Property Dispute,Female,45-59,1
A & N Islands,2005,Causes,Other Prolonged Illness,Female,45-59,4
A & N Islands,2005,Causes,Causes Not known,Female,45-59,1
A & N Islands,2005,Causes,Other Causes (Please Specity),Female,45-59,2
A & N Islands,2005,Causes,Insanity/Mental Illness,Female,45-59,2
A & N Islands,2005,Causes,Other Causes (Please Specity),Male,45-59,5
A & N Islands,2005,Causes,Other Prolonged Illness,Male,45-59,7
A & N Islands,2005,Causes,Insanity/Mental Illness,Male,45-59,2
A & N Islands,2005,Causes,Causes Not known,Male,45-59,10
A & N Islands,2005,Causes,Poverty,Male,45-59,1
A & N Islands,2005,Causes,Other Prolonged Illness,Female,60+,4
A & N Islands,2005,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2005,Causes,Other Causes (Please Specity),Male,60+,3
A & N Islands,2005,Causes,Family Problems,Male,60+,1
A & N Islands,2005,Causes,Insanity/Mental Illness,Male,60+,1
A & N Islands,2005,Causes,Other Prolonged Illness,Male,60+,10
A & N Islands,2005,Causes,Causes Not known,Male,60+,2
A & N Islands,2006,Causes,Love Affairs,Female,0-14,1
A & N Islands,2006,Causes,Other Causes (Please Specity),Male,0-14,4
A & N Islands,2006,Causes,Other Causes (Please Specity),Female,15-29,11
A & N Islands,2006,Causes,Other Prolonged Illness,Female,15-29,9
A & N Islands,2006,Causes,Love Affairs,Female,15-29,1
A & N Islands,2006,Causes,Other Causes (Please Specity),Male,15-29,15
A & N Islands,2006,Causes,Love Affairs,Male,15-29,1
A & N Islands,2006,Causes,Other Prolonged Illness,Male,15-29,2
A & N Islands,2006,Causes,Insanity/Mental Illness,Male,15-29,1
A & N Islands,2006,Causes,Unemployment,Male,15-29,2
A & N Islands,2006,Causes,Insanity/Mental Illness,Female,30-44,3
A & N Islands,2006,Causes,Other Causes (Please Specity),Female,30-44,5
A & N Islands,2006,Causes,Other Prolonged Illness,Female,30-44,2
A & N Islands,2006,Causes,Insanity/Mental Illness,Male,30-44,4
A & N Islands,2006,Causes,Love Affairs,Male,30-44,1
A & N Islands,2006,Causes,Other Prolonged Illness,Male,30-44,9
A & N Islands,2006,Causes,Other Causes (Please Specity),Male,30-44,20
A & N Islands,2006,Causes,Other Prolonged Illness,Female,45-59,1
A & N Islands,2006,Causes,Insanity/Mental Illness,Female,45-59,2
A & N Islands,2006,Causes,Insanity/Mental Illness,Male,45-59,9
A & N Islands,2006,Causes,Death of Dear Person,Male,45-59,1
A & N Islands,2006,Causes,Other Prolonged Illness,Male,45-59,7
A & N Islands,2006,Causes,Other Causes (Please Specity),Male,45-59,8
A & N Islands,2006,Causes,Insanity/Mental Illness,Female,60+,1
A & N Islands,2006,Causes,Other Prolonged Illness,Female,60+,1
A & N Islands,2006,Causes,Other Causes (Please Specity),Male,60+,1
A & N Islands,2006,Causes,Other Prolonged Illness,Male,60+,9
A & N Islands,2006,Causes,Insanity/Mental Illness,Male,60+,2
A & N Islands,2007,Causes,Failure in Examination,Female,0-14,2
A & N Islands,2007,Causes,Love Affairs,Female,0-14,1
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,0-14,3
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,15-29,13
A & N Islands,2007,Causes,Love Affairs,Female,15-29,4
A & N Islands,2007,Causes,Failure in Examination,Female,15-29,5
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,15-29,3
A & N Islands,2007,Causes,Property Dispute,Female,15-29,1
A & N Islands,2007,Causes,Other Prolonged Illness,Female,15-29,4
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,1
A & N Islands,2007,Causes,Love Affairs,Male,15-29,3
A & N Islands,2007,Causes,Failure in Examination,Male,15-29,2
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,15-29,3
A & N Islands,2007,Causes,Fall in Social Reputation,Male,15-29,2
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,15-29,16
A & N Islands,2007,Causes,Unemployment,Male,15-29,3
A & N Islands,2007,Causes,Other Prolonged Illness,Male,15-29,3
A & N Islands,2007,Causes,Causes Not known,Male,15-29,3
A & N Islands,2007,Causes,Love Affairs,Female,30-44,1
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,30-44,6
A & N Islands,2007,Causes,Other Prolonged Illness,Female,30-44,2
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,30-44,1
A & N Islands,2007,Causes,Other Prolonged Illness,Male,30-44,1
A & N Islands,2007,Causes,Poverty,Male,30-44,1
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,30-44,12
A & N Islands,2007,Causes,Family Problems,Male,30-44,1
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,30-44,9
A & N Islands,2007,Causes,Cancellation/Non-Settlement of Marriage,Male,30-44,1
A & N Islands,2007,Causes,Causes Not known,Male,30-44,1
A & N Islands,2007,Causes,Other Prolonged Illness,Female,45-59,2
A & N Islands,2007,Causes,Other Causes (Please Specity),Female,45-59,4
A & N Islands,2007,Causes,Insanity/Mental Illness,Female,45-59,2
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,45-59,12
A & N Islands,2007,Causes,Poverty,Male,45-59,1
A & N Islands,2007,Causes,Other Prolonged Illness,Male,45-59,5
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,45-59,7
A & N Islands,2007,Causes,Family Problems,Male,45-59,2
A & N Islands,2007,Causes,Other Prolonged Illness,Female,60+,2
A & N Islands,2007,Causes,Other Prolonged Illness,Male,60+,4
A & N Islands,2007,Causes,Other Causes (Please Specity),Male,60+,4
A & N Islands,2007,Causes,Death of Dear Person,Male,60+,1
A & N Islands,2007,Causes,Family Problems,Male,60+,1
A & N Islands,2007,Causes,Insanity/Mental Illness,Male,60+,1
A & N Islands,2008,Causes,Other Prolonged Illness,Female,15-29,5
A & N Islands,2008,Causes,Causes Not known,Female,15-29,4
A & N Islands,2008,Causes,Other Causes (Please Specity),Female,15-29,10
A & N Islands,2008,Causes,Love Affairs,Female,15-29,2
A & N Islands,2008,Causes,Insanity/Mental Illness,Female,15-29,2
A & N Islands,2008,Causes,Insanity/Mental Illness,Male,15-29,3
A & N Islands,2008,Causes,Love Affairs,Male,15-29,5
A & N Islands,2008,Causes,Suspected/Illicit Relation,Male,15-29,1
A & N Islands,2008,Causes,Failure in Examination,Male,15-29,1
A & N Islands,2008,Causes,Bankruptcy or Sudden change in Economic,Male,15-29,1
A & N Islands,2008,Causes,Other Causes (Please Specity),Male,15-29,9
A & N Islands,2008,Causes,Cancellation/Non-Settlement of Marriage,Male,15-29,2
A & N Islands,2008,Causes,Other Prolonged Illness,Male,15-29,3
A & N Islands,2008,Causes,Poverty,Male,15-29,1
A & N Islands,2008,Causes,Causes Not known,Male,15-29,5
A & N Islands,2008,Causes,Causes Not known,Female,30-44,1
A & N Islands,2008,Causes,Suspected/Illicit Relation,Female,30-44,2
A & N Islands,2008,Causes,Other Prolonged Illness,Female,30-44,4
A & N Islands,2008,Causes,Other Causes (Please Specity),Female,30-44,6
A & N Islands,2008,Causes,Other Prolonged Illness,Male,30-44,6
A & N Islands,2008,Causes,Causes Not known,Male,30-44,7
A & N Islands,2008,Causes,Love Affairs,Male,30-44,2
A & N Islands,2008,Causes,Insanity/Mental Illness,Male,30-44,7
A & N Islands,2008,Causes,Other Causes (Please Specity),Male,30-44,10
